course_id,course_title,course_code,lab_theory,dept_id,semester,syllabus_intro_year,grad_level
472,Co-operative Laws,5B11COM,T,14,5,2019,UG
473,Angiosperm Systematics and Ethnobotany,5B06PLS,T,7,5,2019,UG
474,Plant Physiology and Metabolism,5B07PLS,T,7,5,2019,UG
475,"Microbiology, Mycology, Lichenology and Phytopathology",5B08PLS,T,7,5,2019,UG
476,"Research Methodology, Instrumentation and Biostatistics",5B09PLS,T,7,5,2019,UG
477,Core Practical II,6B14PLS,L,7,5,2019,UG
478,Core Practical III,6B15PLS,L,7,5,2019,UG
479,Mushroom Cultivation,5D01BOT,T,7,5,2019,UG
480,Plantation Science,3A11PLS,T,7,3,2019,UG
481,Horticulture,3A12PLS,T,7,3,2019,UG
482,Plant Diversity I – Algae and Bryophytes,3B03PLS,T,7,3,2019,UG
483,"Angiosperm Morphology, Anatomy and Systematics",3C03BOT,T,7,3,2019,UG
484,Core Practical - I,4B05PLS,L,7,3,2019,UG
485,Vyakarana Padanangal,5B07MAL,T,5,5,2019,UG
486,Novel Sahithyam,5B08MAL,T,5,5,2019,UG
487,Samskara Padanavum Sahithyavum,5B09MAL,T,5,5,2019,UG
488,Kerala Samskaram,5B10MAL,T,5,5,2019,UG
489,Nadodi Vijnaaneeyam,5B11MAL,T,5,5,2019,UG
490,Vaikkom Muhammed Basheer - Paadavum Padanavum,5D04MAL,T,5,5,2019,UG
491,Malayalasahithya Vimarshanam,3B03MAL,T,5,3,2019,UG
492,Indian Kavyasidhaanthangal,3B04MAL,T,5,3,2019,UG
493,Nataka and Vyakarana,3C02SKT-ML,T,16,3,2019,UG
494,Organic Chemistry - I,3B04PCH,T,8,3,2019,UG
495,Polymer Chemistry I,3A11PCH,T,8,3,2019,UG
496,Polymer Chemistry II,3A12PCH,T,8,3,2019,UG
497,Core Course Practicals 1 - Volumetric Analysis,3B03PCH,L,8,3,2019,UG
498,Core Course Practicals 2 - Inorganic Qualitative Analysis,3B05PCH,L,8,3,2019,UG
500,Chemistry (For Biological Science),3C03CHE-BS,T,8,3,2019,UG
501,Chemistry (For Physical Science),3C03CHE-PS,T,8,3,2019,UG
503,"Lab 1: Programming In C, Web Programming and Python Programming",4C05CSC,L,9,4,2019,UG
504,Analytic Geometry and Applications of Derivatives,3B03MAT,T,10,3,2019,UG
505,Mathematics for Chemistry III,3C03MAT-CH,T,10,3,2019,UG
506,Mathematics for Physics III,3C03MAT-PH,T,10,3,2019,UG
507,Mathematics for Statistics III,3C03MAT-ST,T,10,3,2019,UG
508,Foundation Mathematics for Machine Learning I,3C03MAT-ICS,T,10,3,2020,UG
509,Mechanics II,3B03PHY,T,11,3,2019,UG
510,General Physics Practical I,4B05PHY,L,11,3,2019,UG
511,Optics and Photonics,3C03PHY,T,11,3,2019,UG
512,Physics Practical,4C05PHY,L,11,3,2019,UG
513,Probability Distribution and Limit Theorems,3B03STA,T,12,3,2019,UG
514,Probability Distributions,3C03STA,T,12,3,2019,UG
515,Probability Distributions,3C03STA-ICS,T,12,3,2020,UG
516,Chordata - I,3B03ZLG,T,13,3,2019,UG
517,Animal Physiology,3C03ZLG,T,13,3,2019,UG
518,Advanced Accounting,3B03COM,T,14,3,2019,UG
519,Co-operative Principles,3B04COM,T,14,3,2019,UG
520,Entrepreneurship Development,3A12COM,T,14,3,2019,UG
521,Business Regulatory Framework,3C02COM,T,14,3,2019,UG
522,Business Economics,3C03COM,T,14,3,2019,UG
523,"History of India II: Polity, Society and Culture (c.200 to 1206)",3B03HIS,T,4,3,2019,UG
524,History of Kerala I: Earliest Times to c.1500 CE,3B04HIS,T,4,3,2019,UG
525,Foundations of Political Science,3C03POL,T,6,3,2019,UG
526,Central Themes in Indian Economy,3B03ECO,T,1,3,2019,UG
527,International Economics,3B04ECO,T,1,3,2019,UG
528,Practical,4C05ZLG-P,L,13,3,2019,UG
529,Practical-I,4B01ZLG-P,L,13,3,2019,UG
530,Complementary Elective Course Practical,4C05CHE,L,8,3,2019,UG
